Age (in years),CAO Points (100 to 600),"Daily travel to DCU (in km, 0 if on-campus)",Average year 1 exam result (as %),Seat row in class,Gender,Number of older siblings,Number of younger siblings,Old Dublin postcode (0 if outside Dublin),Height (in cm),Weight (in kg),Eye colour,Hair colour,Last 4 digits of your mobile (0000 to 9999),Star sign,Shoe size
19,525,20,65,4,Male,2,0,0,182,82,Brown,Black,4629,Taurus,9
24,522,12,45,8,Male,1,1,13,188,85,Blue,Red,4791,Capricorn,11
21,511,11,65,4,Male,1,0,13,180,82,Green,Brown,7987,Libra,10
20,521,13,55,10,Female,0,2,0,167,70,Blue,Blonde,3513,Taurus,6
21,550,4.7,73,2,Male,1,0,1,193,88,Brown,Brown,999,Gemini,13
19,513,9,61,7,Male,1,0,3,170,79,Blue,Black,130,Gemini,10
20,529,0,60,5,Female,1,0,7,160,60,Brown,Red,3559,Virgo,5
21,525,0,67,3,Male,1,1,0,183,84,Brown,Brown,8903,Aries,9
22,500,1,70,3,Male,1,0,19,185,89,Green,Blonde,6666,Aquarius,12
36,534,35,74,8,Male,2,1,5,183,78,Blue,Brown,8532,Taurus,10
23,550,7,73,5,Female,1,0,1,174,68,Brown,Brown,5692,Scorpio,6
22,400,1,54,5,Male,0,0,9,182,88,Brown,Brown,7115,Sagittarius,11
26,490,3,73,3,Female,0,2,0,169,60,Brown,Brown,2424,Gemini,8
20,507,0,70,6,Female,0,0,0,163,57,Green,Brown,1291,Pices,5.5
22,500,0,65,3,Male,1,0,0,174,72,Brown,Black,9145,Aries,10
25,488,42,67,9,Male,4,1,0,193,87,Green,Black,4118,Aquarius,10
22,533,5,66,5,Male,1,0,0,180,70,Green,Brown,3349,Leo,9
33,380,20,86,10,Male,2,1,0,194,87,Green,Brown,3675,Sagittarius,8
22,544,4,79,6,Female,2,1,0,165,51,Blue,Blonde,8188,Leo,5
22,506,0,55,6,Male,1,4,0,160,60,Green,Black,5749,Cancer,7
47,490,0,50,12,Male,7,2,3,150,65,Brown,Red,6969,Pices,3
20,540,1,70,1,Female,0,1,11,170,75,Brown,Brown,6263,Gemini,6
20,552,5,68,6,Male,1,1,11,177,70,Green,Brown,1145,Aquarius,10
19,510,21,65,5,Female,0,1,0,165,62.5,Green,Brown,8007,Taurus,5.5
19,521,17,67,9,Female,1,1,15,164,65,Green,Brown,3308,Sagittarius,4
21,450,7,66,6,Male,1,2,7,176,80,Brown,Brown,1024,Leo,8
20,521,1.7,70,9,Male,0,1,11,189,68,Blue,Brown,2523,Libra,10
19,517,0,68,5,Male,1,1,0,176,76,Brown,Brown,5870,Pices,11
58,509,59,76,12,Male,1,4,4,190,98,Blue,Black,7084,Libra,10
20,566,1,74,4,Male,1,3,9,190,84,Brown,Black,3320,Sagittarius,11
19,479,1,86,3,Male,2,0,9,187,87,Blue,Brown,949,Virgo,11
19,503,2,70,6,Male,2,1,9,184,70,Blue,Brown,6138,Gemini,10
24,545,6,70,4,Male,1,1,0,182,80,Blue,Blonde,7721,Leo,9
21,350,2,53,9,Male,0,1,11,180,68,Blue,Brown,6944,Leo,9
20,545,25,68,4,Male,3,1,0,182,82,Brown,Black,9898,Taurus,9
22,520,0,68,4,Male,1,1,0,190,94,Blue,Brown,8421,Leo,11
20,552,10,80,4,Female,3,0,3,170,58,Green,Red,987,Gemini,8
20,510,1,70,10,Male,0,0,0,160,76,Brown,Black,59,Gemini,8
19,498,9,65,5,Female,1,2,13,156,55,Blue,Brown,2986,Cancer,5.5
20,545,4,65,10,Female,3,0,0,163,55,Blue,Blonde,4230,Scorpio,5
25,130,2,68,4,Male,2,0,1,181,88,Blue,Black,7865,Gemini,3
19,510,103,78,10,Female,2,2,0,160,58,Brown,Blonde,4920,Pices,5
21,540,0,65,12,Female,2,0,0,170,64,Brown,Red,9552,Pices,6
21,456,18,78,5,Female,1,1,7,169,68,Brown,Brown,6521,Taurus,8
21,565,7,71,3,Female,2,1,14,170,59,Blue,Black,1699,Libra,6
20,520,7,62,8,Female,0,2,7,165,70,Blue,Black,5289,Taurus,5
20,510,60,65,5,Male,1,1,0,184,85,Blue,Brown,5317,Libra,10
23,490,7,70,4,Female,0,3,7,173,73,Green,Blonde,4602,Aquarius,7
22,500,4,65,4,Female,0,3,0,177,73,Blue,Brown,6402,Leo,7
